Date,Close,Open,High,Low,Change
2023-09-13,2.66,2.671,2.672,2.656,0.08%
2023-09-12,2.658,2.665,2.665,2.643,-0.23%
2023-09-11,2.664,2.673,2.694,2.66,-0.34%
2023-09-08,2.673,2.675,2.685,2.659,0.00%
2023-09-07,2.673,2.676,2.683,2.66,-0.04%
2023-09-06,2.674,2.644,2.676,2.638,1.13%
2023-09-05,2.644,2.66,2.66,2.637,-0.04%
2023-09-04,2.645,2.656,2.656,2.639,1.34%
2023-09-01,2.61,2.594,2.62,2.594,0.81%
2023-08-31,2.589,2.591,2.612,2.583,-0.08%
2023-08-30,2.591,2.6,2.619,2.585,-0.27%
2023-08-29,2.598,2.59,2.608,2.584,0.04%
2023-08-28,2.597,2.62,2.625,2.583,0.56%
2023-08-27,2.582,2.582,2.582,2.582,0.00%
2023-08-26,2.582,2.583,2.583,2.582,0.37%
2023-08-25,2.573,2.555,2.577,2.552,0.74%
2023-08-24,2.554,2.555,2.576,2.55,-0.20%
2023-08-23,2.559,2.556,2.571,2.55,0.12%
2023-08-22,2.556,2.543,2.557,2.541,0.51%
2023-08-21,2.543,2.61,2.61,2.533,-1.05%
2023-08-18,2.57,2.615,2.615,2.562,-0.12%
2023-08-17,2.573,2.605,2.605,2.563,-0.43%
2023-08-16,2.584,2.63,2.63,2.57,-0.08%
2023-08-15,2.586,2.668,2.668,2.56,-1.56%
2023-08-14,2.627,2.687,2.687,2.618,-0.94%
2023-08-11,2.652,2.694,2.694,2.643,-0.15%
2023-08-10,2.656,2.69,2.69,2.648,0.11%
2023-08-09,2.653,2.69,2.69,2.643,0.11%
2023-08-08,2.65,2.681,2.681,2.646,-0.38%
2023-08-07,2.66,2.694,2.694,2.644,-0.67%
2023-08-04,2.678,2.785,2.785,2.666,0.11%
2023-08-03,2.675,2.755,2.755,2.668,-0.89%
2023-08-02,2.699,2.755,2.755,2.675,0.33%
2023-08-01,2.69,2.811,2.811,2.677,-0.26%
2023-07-31,2.697,2.78,2.78,2.685,0.33%
2023-07-28,2.688,2.736,2.736,2.663,0.49%
2023-07-27,2.675,2.797,2.797,2.664,-0.30%
2023-07-26,2.683,2.792,2.792,2.675,-0.74%
2023-07-25,2.703,2.695,2.703,2.652,1.96%
2023-07-24,2.651,2.74,2.74,2.636,0.11%
2023-07-21,2.648,2.713,2.713,2.64,-0.38%
2023-07-20,2.658,2.72,2.72,2.653,-0.56%
2023-07-19,2.673,2.757,2.757,2.655,0.41%
2023-07-18,2.662,2.73,2.73,2.657,-0.49%
2023-07-17,2.675,2.745,2.745,2.67,-0.56%
2023-07-14,2.69,2.735,2.735,2.676,0.26%
2023-07-13,2.683,2.715,2.715,2.674,0.00%
2023-07-12,2.683,2.77,2.77,2.672,0.11%
2023-07-11,2.68,2.738,2.738,2.665,-0.26%
2023-07-10,2.687,2.743,2.743,2.678,-0.22%
2023-07-07,2.693,2.81,2.81,2.678,0.11%
2023-07-06,2.69,2.81,2.81,2.68,0.11%
2023-07-05,2.687,2.77,2.77,2.684,-0.67%
2023-07-04,2.705,2.78,2.78,2.675,0.45%
2023-07-03,2.693,2.7,2.7,2.68,0.37%
2023-06-30,2.683,2.8,2.8,2.673,-0.63%
2023-06-29,2.7,2.76,2.76,2.691,0.15%
2023-06-28,2.696,2.765,2.765,2.689,-0.26%
2023-06-27,2.703,2.764,2.764,2.695,0.22%
2023-06-26,2.697,2.739,2.739,2.689,-0.15%
2023-06-25,2.701,2.723,2.723,2.701,-0.33%
2023-06-21,2.71,2.805,2.805,2.695,-0.22%
2023-06-20,2.716,2.808,2.808,2.705,-0.07%
2023-06-19,2.718,2.72,2.721,2.7,0.70%
2023-06-16,2.699,2.712,2.735,2.683,0.60%
2023-06-15,2.683,2.701,2.701,2.656,1.13%
2023-06-14,2.653,2.713,2.713,2.622,-0.19%
2023-06-13,2.658,2.754,2.754,2.64,-1.19%
2023-06-12,2.69,2.747,2.747,2.679,-0.15%
2023-06-09,2.694,2.774,2.774,2.682,-0.59%
2023-06-08,2.71,2.763,2.763,2.704,0.11%
2023-06-07,2.707,2.774,2.774,2.7,-0.26%
2023-06-06,2.714,2.773,2.773,2.706,-0.29%
2023-06-05,2.722,2.763,2.763,2.715,-0.04%
2023-06-02,2.723,2.801,2.801,2.705,0.59%
2023-06-01,2.707,2.785,2.785,2.7,-0.26%
2023-05-31,2.714,2.739,2.739,2.707,-0.44%
2023-05-30,2.726,2.759,2.759,2.723,-0.22%
2023-05-29,2.732,2.819,2.819,2.713,0.29%
2023-05-26,2.724,2.743,2.743,2.714,0.33%
2023-05-25,2.715,2.777,2.777,2.704,0.22%
2023-05-24,2.709,2.765,2.765,2.698,0.22%
2023-05-23,2.703,2.772,2.772,2.693,-0.52%
